speaker_id	sentence	filename	label	gender	tts	prob_real	pred	prob_fake
27	يبدو الأمر شاقاً بعض الشيء من الأسفل وهو صعود شديد الانحدار وصعب ولكن معظم الأشخاص الذين يتمتعون بلياقة معقولة يجب أن يكونوا قادرين على الوصول في غضون 45 دقيقة	AFAD_F_07832	fake	female	speech-2.5-hd-preview	-0.14128530025482178	1	0.6091429591178894
7	قال رب اجعل لي آية قال آيتك ألا تكلم الناس ثلاث ليال سويا	AFAD_R_01601	real	female	none	6.020184516906738	1	0.9999974966049194
20	أين هو أب سامي؟	AFAD_R_04598	real	female	none	6.285374641418457	1	0.9999984502792358
25	وَفِي مُحِيطِ مَسْجِدِ السَّيِّدَةِ زَيْنَبَ بِالْقَاهِرَةِ تُقَامُ هَذِهِ الْأَيَّامُ سُرَادِقَاتُ بَيْعِ حَلْوَى الْمَوْلِدِ بِأَسْعَارٍ مُتَفَاوِتَةٍ تَتَرَاوَحُ بَيْنَ خَمْسَةَ عَشَرَ جُنَيْهاً حَوَالَيْ دُولَارَيْنِ وَمِئَةٍ وَخَمْسِينَ جُنَيْهاً	AFAD_R_06399	real	male	none	4.292511463165283	1	0.9999760389328003
4	وَقِيلَ مَنْ رَاقٍ	AFAD_R_00965	real	male	none	1.174721121788025	1	0.9749457836151123
18	خَلَقَ الْخَلْقَ بِتَدْبِيرِهِ وَفَطَرَهُمْ بِتَقْدِيرِهِ	AFAD_R_04235	real	female	none	2.6167428493499756	1	0.9986441731452942
8	ما هو فنك المفضل ؟	AFAD_R_01771	real	male	none	2.670506477355957	1	0.9987667798995972
27	كما أن الفشل في فعل ذلك سيؤدي إلى عواقب وخيمة اكتئاب النمو ونقص التغذية وفي النهاية الموت	AFAD_F_07041	fake	female	eleven_multilingual_v2	0.45501863956451416	1	0.8056355714797974
24	فيهما من كل فاكهة زوجان	AFAD_F_05537	fake	male	speech-2.5-hd-preview	-0.36957740783691406	1	0.5754541158676147
27	على الرغم من هذه الاتهامات فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني	AFAD_R_07767	real	female	none	2.9987635612487793	1	0.9993671774864197
2	سُبْحَانَ الَّذِي خَلَقَ الْأَزْوَاجَ كُلَّهَا مِمَّا تُنْبِتُ الْأَرْضُ وَمِنْ أَنْفُسِهِمْ وَمِمَّا لَا يَعْلَمُونَ	AFAD_F_00338	fake	female	eleven_multilingual_v2	1.0705821514129639	1	0.949984610080719
5	قالوا بل لم تكونوا مؤمنين	AFAD_F_01060	fake	male	eleven_multilingual_v2	1.1230647563934326	1	0.9432582855224609
27	يتوقّف التأثير على معدّل تكرار محاولة مخّك للوصول إلى الحُلم الصافِ كل ليلة	AFAD_R_07252	real	female	none	0.5656459927558899	1	0.927089512348175
25	تَسْتَعِدُّ الْعَاصِمَةُ الْعِرَاقِيَّةُ لِاخْتِتَامِ فَعَّالِيَّاتِ تَظَاهُرَةِ بَغْدَادَ عَاصِمَةً لِلثَّقَافَةِ الْعَرَبِيَّةِ بَعْدَ عَامٍ شَهِدَ عَشَرَاتِ التَّظَاهُرَاتِ الثَّقَافِيَّةِ وَالْفَنِّيَّةِ وَالْمَعَارِضِ بِهَذِهِ الْمُنَاسَبَةِ	AFAD_R_05979	real	male	none	4.053322792053223	1	0.9999537467956543
6	وَمَا لِأَحَدٍ عِنْدَهُ مِنْ نِعْمَةٍ تُجْزَى	AFAD_R_01453	real	male	none	3.5314767360687256	1	0.9999065399169922
20	لم أنسك يا توم.	AFAD_F_04549	fake	female	speech-2.5-hd-preview	0.3594013750553131	1	0.7991562485694885
20	وَلَقَدِرَ عَلَى مَا يَصُونَهُ	AFAD_F_04738	fake	female	speech-2.5-hd-preview	-0.05647420510649681	1	0.6376498937606812
7	فَإِنْ لَمْ يَكُنْ إظْهَارُ النَّكِيرِ مِمَّا يَتَعَلَّقُ بِإِعْزَازِ دِينِ اللَّهِ	AFAD_F_01632	fake	female	eleven_multilingual_v2	0.938676655292511	1	0.9276869297027588
14	وَالْخَامِسُ مُعَانَاةُ الْمَظَالِمِ وَالْأَحْكَامِ بِالتَّسْوِيَةِ بَيْنَ أَهْلِهَا وَاعْتِمَادِ النَّصَفَةِ فِي فَصْلِهَا	AFAD_R_03216	real	male	none	4.734646320343018	1	0.9999881982803345
9	أُصيبت كايت بالبرد.	AFAD_R_02079	real	male	none	2.6858952045440674	1	0.9990631937980652
24	فمال الذين كفروا قبلك مهطعين	AFAD_F_05645	fake	male	speech-2.5-hd-preview	-0.05529041215777397	1	0.6618373394012451
27	يُمكن اعتبار الذرة واحدة من وحدات البناء الأساسية لكل المواد	AFAD_F_07794	fake	female	speech-2.5-hd-preview	0.430821031332016	1	0.8544352054595947
6	مناد كان على بعد حوالي نصف ساعة من بيته.	AFAD_F_01366	fake	male	eleven_multilingual_v2	0.6907031536102295	1	0.880393922328949
7	هو يَحسَبُ نفسَه بطلاً.	AFAD_F_01694	fake	female	eleven_multilingual_v2	1.0961334705352783	1	0.904331386089325
1	ليسوا هنا حتى الآن.	AFAD_F_00155	fake	female	eleven_multilingual_v2	0.513640284538269	1	0.8676755428314209
