speaker_id	sentence	filename	label	gender	tts	prob_real	pred	prob_fake
27	يبدو الأمر شاقاً بعض الشيء من الأسفل وهو صعود شديد الانحدار وصعب ولكن معظم الأشخاص الذين يتمتعون بلياقة معقولة يجب أن يكونوا قادرين على الوصول في غضون 45 دقيقة	AFAD_F_07832	fake	female	speech-2.5-hd-preview	-4.164587020874023	0	0.00010468943219166249
7	قال رب اجعل لي آية قال آيتك ألا تكلم الناس ثلاث ليال سويا	AFAD_R_01601	real	female	none	6.7859206199646	1	0.999997615814209
20	أين هو أب سامي؟	AFAD_R_04598	real	female	none	6.357797622680664	1	0.9999926090240479
25	وَفِي مُحِيطِ مَسْجِدِ السَّيِّدَةِ زَيْنَبَ بِالْقَاهِرَةِ تُقَامُ هَذِهِ الْأَيَّامُ سُرَادِقَاتُ بَيْعِ حَلْوَى الْمَوْلِدِ بِأَسْعَارٍ مُتَفَاوِتَةٍ تَتَرَاوَحُ بَيْنَ خَمْسَةَ عَشَرَ جُنَيْهاً حَوَالَيْ دُولَارَيْنِ وَمِئَةٍ وَخَمْسِينَ جُنَيْهاً	AFAD_R_06399	real	male	none	5.263250350952148	1	0.9999616146087646
4	وَقِيلَ مَنْ رَاقٍ	AFAD_R_00965	real	male	none	4.230867385864258	1	0.9996412992477417
18	خَلَقَ الْخَلْقَ بِتَدْبِيرِهِ وَفَطَرَهُمْ بِتَقْدِيرِهِ	AFAD_R_04235	real	female	none	5.218899726867676	1	0.9999649524688721
8	ما هو فنك المفضل ؟	AFAD_R_01771	real	male	none	5.10092306137085	1	0.9999316930770874
27	كما أن الفشل في فعل ذلك سيؤدي إلى عواقب وخيمة اكتئاب النمو ونقص التغذية وفي النهاية الموت	AFAD_F_07041	fake	female	eleven_multilingual_v2	-4.759084701538086	0	4.396657823235728e-05
24	فيهما من كل فاكهة زوجان	AFAD_F_05537	fake	male	speech-2.5-hd-preview	-2.7671141624450684	0	0.001877576345577836
27	على الرغم من هذه الاتهامات فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني	AFAD_R_07767	real	female	none	4.558986663818359	1	0.9998537302017212
2	سُبْحَانَ الَّذِي خَلَقَ الْأَزْوَاجَ كُلَّهَا مِمَّا تُنْبِتُ الْأَرْضُ وَمِنْ أَنْفُسِهِمْ وَمِمَّا لَا يَعْلَمُونَ	AFAD_F_00338	fake	female	eleven_multilingual_v2	-4.014030933380127	0	0.00021595024736598134
5	قالوا بل لم تكونوا مؤمنين	AFAD_F_01060	fake	male	eleven_multilingual_v2	-4.0637593269348145	0	0.0004710840876214206
27	يتوقّف التأثير على معدّل تكرار محاولة مخّك للوصول إلى الحُلم الصافِ كل ليلة	AFAD_R_07252	real	female	none	2.9482898712158203	1	0.9966887831687927
25	تَسْتَعِدُّ الْعَاصِمَةُ الْعِرَاقِيَّةُ لِاخْتِتَامِ فَعَّالِيَّاتِ تَظَاهُرَةِ بَغْدَادَ عَاصِمَةً لِلثَّقَافَةِ الْعَرَبِيَّةِ بَعْدَ عَامٍ شَهِدَ عَشَرَاتِ التَّظَاهُرَاتِ الثَّقَافِيَّةِ وَالْفَنِّيَّةِ وَالْمَعَارِضِ بِهَذِهِ الْمُنَاسَبَةِ	AFAD_R_05979	real	male	none	7.22527551651001	1	0.9999988079071045
6	وَمَا لِأَحَدٍ عِنْدَهُ مِنْ نِعْمَةٍ تُجْزَى	AFAD_R_01453	real	male	none	4.254056453704834	1	0.999629020690918
20	لم أنسك يا توم.	AFAD_F_04549	fake	female	speech-2.5-hd-preview	-3.923839807510376	0	0.00028707130695693195
20	وَلَقَدِرَ عَلَى مَا يَصُونَهُ	AFAD_F_04738	fake	female	speech-2.5-hd-preview	-5.105523586273193	0	2.60313772741938e-05
